id	text
int	string
80101	T105組アンドロイド既に起動しました ----
80115	【出发一段时间后，母舰指挥室。】 
80116	请玛希小姐稍等，我正在根据“无人机”和“1号侦查组”的数据生成前方海路的实时模型…… 
80117	（指挥室半空中逐渐显示出前方峡谷的立体透视模型成像——两座巍峨高山绵延不绝，中间是蔚蓝的大海，十五舰队正从中穿过。） 
80118	（峡谷的后半段两座山逐渐合拢，道路变成一条“海上隧道”。） 
80119	隧道前未探测到危险信号，无人机继续前行，模型正在进一步更新。预估隧道长度为……为……为…… 
80120	Joyce怎么了？信号不好吗？ 
80121	当——当——当当当前…前信号突然极不稳定—— 
80122	噗—— 
80123	……疑似山体屏蔽干扰……系统正在排查干扰源……玛希小姐是在笑我吗? 
80124	啊，对不起对不起，Joyce对不起！稍微有点忍不住。影响会很大吗，需要先通知“1号侦查组”暂停吗？ 
80125	那就好。 
80126	（玛希向指挥官放大展示前方地形的路况和细节，看到隧道时，玛希手指停住。） 
80127	Joyce麻烦扫描分析隧道口两旁破损障碍物……放大，再放大…… 
80128	希望是我多心了，感觉里面有东西……Joyce能不能透视表层建筑，我想看看里面的东西。 
80129	正在尝试模拟…… 
80130	（玛希看着表层建筑一层层剥离，露出一个惊讶的表情。） 
80131	这！这是？！……不会是“信号干扰设备”吧？ 
80132	【 呼叫1号侦查组！紧急呼叫1号侦查组！ 】 
80133	这是什么东西？我看不太懂。 
80134	怎么了？又被方舟套路了？ 
80135	通过物质和结构扫描，似乎是某种型号的“信号干扰设备”。但无法确定，该设备已经自毁。 
80136	虽然这东西已经自毁，但看上去很像是“信号干扰设备”，有种不详的预感，方舟最喜欢玩陷阱那一套。但是我们的路线方舟不可能知道啊…… 
80137	【侦查组通讯信号响应。】 
80138	玛希副官，我们现在准备进入隧道，侦察数据会持续上传。 
80139	不，停下！ 
80140	已经晚了。目前干扰程度异常，虽然通讯始终是连线状态，但延迟较为严重 。我们这边的消息也一直在缓冲，无法传送出去。据分析这条讯息应该是几分钟前发送的，恐怕她们已经进入隧道。 
80141	现在呢？ 
80142	12312312
80143	1
80144	2
80145	3
80146	TreeNodeEditor(2) 
80147	隧道前未探测到危险信号，无人…为……为…… 
80148	隧道前未探测到危险信号， 
80149	接受玛希小姐的道歉。干扰会对侦查组和母舰，以及母舰与我之间造成一定的数据延迟。不过还无法判断影响，至少我现在还能读取最新的侦察数据…… 
80150	有了！ 
80151	1号侦察组已收到！请问玛希副官有什么事吗？ 
80152	你们还在隧道吗，是否出现异常情况？我在隧道口发现疑似干扰设备的不明物。 
80153	尚未发现异常情况，只是…… 
80154	【通讯系统的杂音越来越大，逐渐盖过通讯语音。】 
80155	……伏……舰……舟…… 
80156	什么？“伏”什么？ 
80157	【玛希想继续询问，通讯系统突然传来一阵极其尖锐的信号干扰声。玛希和指挥官痛苦得捂住耳朵。】 
80158	【侦察组通讯信号中断。】 
80159	唔，好痛。指挥官你的耳朵还好吗！？ 
80160	比起问我，你没事吧？ 
80161	我没事，先确定下发生了什么事吧。 
80162	好痛啊指挥官，侦查组那边不会是出事了吧? 
80163	是！指挥官。 
80164	遭了，信号彻底断了！ 
80165	【指挥台索敌系统橙色警报响起，紧接着紧急信号响起。】 
80166	【无数炮弹突然从隧道里飞出来，扬起闪光的弧线，准确掉落在母舰和护航队周围。】 
80167	玛希我们受到了敌方攻击！索敌系统上敌舰数量还在不断增加！ 
80168	（犬紧紧盯着不断从隧道出来的轰炸机和敌舰） 
80169	22世纪初，人工智能为代表的科技高度发达，然而科技无法阻止环境恶化与资源紧缺。随着水平面不断上升，全球绝大多数地表被水面所覆盖，人类居住地不断向上开拓。/n人类纷争不断，贫富两极分化极端严重。与此同时，“人类权限等级”制度在全球范围内建立。 
80170	2125年，人类纷争加剧，世界范围内爆发战争。/n2127年，战争演变为世界大战，部分国家动用核武器，全面的核战争爆发。巨大的能量引发地壳发生大规模变动，海平面迅速上升。地球生态环境骤变，各国联络艰难，逐渐陷入孤立状态。/n人类在地面上的生存进入倒计时…… 
80171	2130年，无力再战的各国尽力联络达成协议，“短期联盟”成立。联盟各国集结力量，在世界各地建造人类火种保存处。并启动“人类守卫者”项目，大批量命名为“T105型”的仿生机器人被制造出来，作为人类守卫。 同年，人类分批进入休眠。  
80172	2130年—— 
80173	【第十二号人类保存基地】 
80174	系统语音：“12号人类保存基地即将关闭，请所有人尽快跟随指引关闭救生舱。” 
80175	女性声音：“长官放轻松~按照规定，在关闭救生舱以前我还需要唠叨一段。不过依照您的身份，军部应该都有提前通知吧……” 
